sku,description,material,origin,customs_value,current_hs_code
TS-001,Men's cotton t-shirt knitted,cotton,MX,5000,
TS-009,Men's polyester performance t-shirt knitted,polyester,CN,6000,6109.10.00.10
BP-002,Nylon travel backpack,nylon,CN,8000,4202.92.31.20
LP-003,14 inch laptop notebook computer,aluminum,CN,40000,
MUG-004,Ceramic stoneware coffee mug,ceramic,CN,1500,6911.10.10.00
CHR-005,USB power adapter wall charger,plastic,MX,3000,
SOFA-006,Upholstered armchair with wooden frame,wood,CA,12000,
SCR-007,Set of steel screwdrivers,steel,US,2000,
CBL-010,USB-C charging cable with connector,plastic,CN,1200,
DRS-011,Women's woven dress synthetic,polyester,VN,9000,
TWL-012,Cotton terry bath towels,cotton,IN,4000,
WID-008,Mystery industrial gadget thingamajig,,CN,1000,
